time_ms,speed_rpm
10,0.00
20,0.00
30,0.00
40,0.00
50,0.00
60,0.00
70,0.00
80,0.00
90,0.00
100,0.00
110,0.00
120,0.00
130,0.00
140,0.00
150,0.00
160,0.00
171,0.00
181,0.00
191,0.00
201,0.00
211,0.00
221,0.00
231,0.00
241,0.00
251,0.00
261,0.00
271,0.00
281,0.00
291,0.00
301,0.00
311,0.00
321,0.00
331,0.00
342,0.00
352,0.00
362,0.00
372,0.00
382,0.00
392,0.00
402,0.00
412,0.00
422,0.00
432,0.00
442,0.00
452,0.00
462,0.00
472,0.00
482,0.00
492,0.00
502,0.00
512,0.00
522,0.00
532,0.00
542,0.00
552,0.00
562,0.00
572,0.00
582,0.00
592,0.00
602,0.00
612,0.00
622,0.00
632,0.00
642,0.00
652,0.00
662,0.00
672,0.00
683,0.00
693,0.00
703,0.00
713,0.00
723,0.00
733,0.00
743,0.00
753,0.00
763,0.00
773,0.00
783,0.00
793,0.00
803,0.00
813,0.00
823,0.00
833,0.00
843,0.00
854,0.00
864,0.00
874,0.00
884,0.00
894,0.00
904,0.00
914,0.00
924,0.00
934,0.00
944,0.00
954,-17.14
964,0.00
974,0.00
984,0.00
994,0.00
1004,0.00
1014,0.00
1024,0.00
1034,0.00
1044,0.00
1054,0.00
1064,0.00
1074,0.00
1084,0.00
1094,0.00
1104,0.00
1114,0.00
1124,0.00
1134,0.00
1144,0.00
1154,0.00
1164,0.00
1174,0.00
1184,0.00
1195,0.00
1205,0.00
1215,0.00
1225,0.00
1235,0.00
1245,0.00
1255,0.00
1265,0.00
1275,0.00
1285,0.00
1295,0.00
1305,0.00
1315,0.00
1325,0.00
1335,0.00
1345,0.00
1355,0.00
1366,0.00
1376,0.00
1386,0.00
1396,0.00
1406,0.00
1416,0.00
1426,0.00
1436,0.00
1446,0.00
1456,0.00
1466,0.00
1476,0.00
1486,0.00
1496,0.00
1506,0.00
1516,0.00
1526,0.00
1536,0.00
1546,0.00
1556,0.00
1566,0.00
1576,0.00
1586,0.00
1596,0.00
1606,0.00
1616,0.00
1626,0.00
1636,0.00
1646,0.00
1656,0.00
